Character,Image,Color,1.0A,1.0B,1.1A,1.1B,1.2A,1.2B,1.3A,1.3B,1.4A,1.4B,1.5A,1.5B,1.6A,1.6B,2.0A,2.0B,2.1A,2.1B,2.2A,2.2B,2.3A,2.3B,2.4A,2.4B,2.5A,2.5B,2.6A,2.6B,2.7A,2.7B,2.8A,2.8B,3.0A,3.0B,3.1A,3.1B,3.2A,3.2B,3.3A,3.3B,3.4A,3.4B,3.5A,3.5B,3.6A,3.6B,3.7A,3.7B,3.8A,3.8B,4.0A,4.0B,4.1A,4.1B,4.2A,4.2B,4.3A,4.3B,4.4A,4.4B,4.5A,4.5B,4.6A,4.6B,4.7A,4.7B,4.8A,4.8B,5.0A,5.0B,5.1A,5.1B,5.2A,5.2B,5.3A,5.3B,5.4A,5.4B,5.5A,5.5B,5.6A,5.6B,5.7A,5.7B,5.8A,5.8B,6.0A,6.0B,6.1A,6.1B,6.2A,6.2B,6.3A,6.3B,6.4A,6.4B,6.5A,6.5B,6.6A,6.6B,6.7A
Noelle,https://tierlist-plus.netlify.app/headshots/Noelle.png,#FFCB51,8,8,8,9,11,15,16,18,18,19,19,17,17,16,18,19,22,23,23,24,24,25,27,27,27,27,28,28,29,29,29,29,30,31,32,32,33,34,35,35,30,30,36,37,37,38,39,39,39,39,39,39,37,37,38,38,38,39,39,39,36,36,36,36,36,37,37,37,37,37,38,38,38,38,39,40,41,41,42,42,43,43,44,44,45,45,46,46,46,46,45,45,46,47,47,47,48,48,50,50,50
Ororon,https://tierlist-plus.netlify.app/headshots/Ororon.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qiqi,https://tierlist-plus.netlify.app/headshots/Qiqi.png,#4CD0F0,1,1,2,2,5,7,12,12,12,13,13,10,10,10,10,11,13,14,14,15,15,15,17,17,17,17,17,17,17,17,17,17,18,19,20,20,21,21,22,22,16,16,23,24,24,25,26,26,26,26,26,26,25,25,26,26,26,27,29,29,29,29,30,30,30,31,31,31,31,31,32,32,32,32,33,34,35,35,36,36,37,37,38,38,39,39,40,40,40,40,39,39,40,41,41,41,42,42,44,44,19
Prune,https://tierlist-plus.netlify.app/headshots/Prune.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16
Raiden,https://tierlist-plus.netlify.app/headshots/Raiden.png,#D050DC,,,,,,,,,,,,,,,,,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,11,11,11,11,12,12,11,11,11,11,11,11,12,13,13,13,,,,,,,,,,,
Razor,https://tierlist-plus.netlify.app/headshots/Razor.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaria,https://tierlist-plus.netlify.app/headshots/Rosaria.png,#4CD0F0,,,,,,,,,,11,11,14,14,14,17,18,21,22,22,23,23,18,20,20,20,20,20,20,20,22,22,22,23,24,25,25,26,27,28,28,23,23,30,31,31,32,34,34,34,34,34,34,33,33,34,34,34,35,33,33,33,33,33,33,33,34,34,34,34,34,35,35,35,35,36,37,38,38,39,39,40,40,41,41,42,42,43,43,43,43,42,42,43,44,44,44,45,45,47,47,47
Sandrone,https://tierlist-plus.netlify.app/headshots/Sandrone.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sara,https://tierlist-plus.netlify.app/headshots/Sara.png,#D050DC,,,,,,,,,,,,,,,,,8,8,8,9,9,11,10,10,15,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,11,11,17,18,18,19,18,18,18,18,18,18,17,17,18,18,18,19,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,24,26,26,26,27,27,28,28,28,28,30,30,31,31,31,31,30,30,31,32,32,32,34,34,36,36,37
Sayu,https://tierlist-plus.netlify.app/headshots/Sayu.png,#08F298,,,,,,,,,,,,,,,,10,12,13,13,14,14,16,18,18,18,18,18,18,18,16,16,16,17,18,18,18,19,18,19,19,14,14,20,21,21,22,25,25,25,25,25,25,24,24,25,25,25,26,27,27,27,27,27,27,27,28,28,28,28,28,29,29,29,29,30,31,32,32,33,33,34,34,34,34,35,35,38,38,38,38,37,37,38,39,39,39,40,40,42,42,43
Sethos,https://tierlist-plus.netlify.app/headshots/Sethos.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenhe,https://tierlist-plus.netlify.app/headshots/Shenhe.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,12,12,13,13,13,13,13,12,12,12,12,12,12,12,13,13,13,13,7,7,13,13,13,14,14,14,14,14,14,14,13,13,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,14,14,14,14,15,15,15,15,15,15,15,15,17,17,17,17,17,17,18,18,18,18,20,20,19,19,20
Shinobu,https://tierlist-plus.netlify.app/headshots/Shinobu.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,21,22,23,23,24,25,26,26,18,18,22,23,23,24,24,24,24,24,24,24,23,23,24,24,24,25,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,23,25,25,25,26,26,26,26,26,26,28,28,29,29,29,29,27,27,28,29,29,29,31,31,33,33,34
Sigewinne,https://tierlist-plus.netlify.app/headshots/Sigewinne.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,26,27,27,27,27,28,30,31,31,32,32,33,33,33,33,34,34,34,34,34,34,33,33,34,35,35,35,36,36,38,38,39
Skirk,https://tierlist-plus.netlify.app/headshots/Skirk.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucrose,https://tierlist-plus.netlify.app/headshots/Sucrose.png,#08F298,4,4,5,5,9,9,7,5,5,5,5,5,5,7,6,6,7,7,7,7,7,7,7,7,6,6,6,6,6,10,10,10,10,10,10,10,11,11,11,11,5,5,11,11,11,12,12,12,12,12,12,12,11,11,13,13,13,12,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,17,15,11,11,11,8,8,9,9,9,9,10,10,9,9,9
Tartaglia,https://tierlist-plus.netlify.app/headshots/Tartaglia.png,#4474DA,,,7,8,,,9,10,10,10,10,9,9,12,15,16,19,20,20,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thoma,https://tierlist-plus.netlify.app/headshots/Thoma.png,#DC6664,,,,,,,,,,,,,,,,,,,,8,8,20,22,22,22,22,23,23,24,23,23,23,24,25,26,26,27,28,29,29,24,24,31,32,32,33,30,30,30,30,30,30,29,29,30,30,30,31,32,32,32,32,28,28,28,29,29,29,29,29,30,30,30,30,31,32,33,33,34,34,35,35,35,35,36,36,35,35,35,35,34,34,35,36,36,36,37,37,39,39,40
Tighnari,https://tierlist-plus.netlify.app/headshots/Tighnari.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Anemo),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Anemo%29.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Dendro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Dendro%29.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,16,16,17,17,18,18,12,12,18,19,19,20,19,19,19,19,19,19,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Electro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Electro%29.png,#D050DC,,,,,,,,,,,,,,,,22,16,17,17,18,18,17,19,19,19,19,19,19,19,19,19,19,20,21,22,22,23,24,25,25,19,19,26,27,27,28,29,29,29,29,29,29,28,28,29,29,29,30,31,31,31,31,32,32,32,33,33,33,33,33,34,34,34,34,35,36,37,37,38,38,39,39,40,40,41,41,42,42,42,42,41,41,42,43,43,43,44,44,46,46,46
Traveler (Geo),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Geo%29.png,#FFCB51,,,,,,11,17,19,19,20,20,18,18,,19,20,23,24,24,25,25,21,23,23,23,23,24,24,25,30,30,30,31,32,33,33,34,35,36,36,31,31,37,38,38,39,40,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Hydro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Hydro%29.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Pyro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Pyro%29.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varesa,https://tierlist-plus.netlify.app/headshots/Varesa.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venti,https://tierlist-plus.netlify.app/headshots/Venti.png,#08F298,,,,,1,4,4,4,4,4,4,4,4,2,4,4,5,5,5,5,5,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,15,15,15,15,9,9,15,16,16,17,16,16,16,16,16,16,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,19,19,20,20,21,21,21,21,22,22,23,23,23,23,,,,,,,,,,,
Wanderer,https://tierlist-plus.netlify.app/headshots/Wanderer.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wriothesley,https://tierlist-plus.netlify.app/headshots/Wriothesley.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varka,https://tierlist-plus.netlify.app/headshots/Varka.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiangling,https://tierlist-plus.netlify.app/headshots/Xiangling.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xianyun,https://tierlist-plus.netlify.app/headshots/Xianyun.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,13,13,12,12,12,12,12,12,13,14,14,14,14,14,15,15,15,15,17,17,20,20,21
Xiao,https://tierlist-plus.netlify.app/headshots/Xiao.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xilonen,https://tierlist-plus.netlify.app/headshots/Xilonen.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,7,7,7,7,8,8,12,12,12
Xingqiu,https://tierlist-plus.netlify.app/headshots/Xingqiu.png,#4474DA,9,9,9,10,10,13,13,14,14,15,15,11,11,15,12,13,15,16,16,17,17,23,25,25,25,25,26,26,27,28,28,28,29,30,31,31,32,33,34,34,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinyan,https://tierlist-plus.netlify.app/headshots/Xinyan.png,#DC6664,,,,,,14,18,20,20,21,21,19,19,17,14,15,18,19,19,20,20,19,21,21,21,21,22,22,23,24,24,24,25,26,27,27,28,29,30,30,25,25,32,33,33,34,35,35,35,35,35,35,34,34,37,37,37,38,38,38,39,39,39,39,39,40,40,40,40,40,41,41,41,41,42,43,44,44,45,45,46,46,47,47,48,48,49,49,49,49,48,48,49,50,50,50,51,51,53,53,53
Yae Miko,https://tierlist-plus.netlify.app/headshots/Yae%20Miko.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanfei,https://tierlist-plus.netlify.app/headshots/Yanfei.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,33,34,35,35,36,37,38,38,33,33,39,40,40,41,42,42,42,42,42,42,38,38,36,36,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaoyao,https://tierlist-plus.netlify.app/headshots/Yaoyao.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,19,20,20,21,20,20,20,20,20,20,19,19,19,19,19,20,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,21,22,22,22,23,23,23,23,23,23,24,24,25,25,25,25,23,23,24,25,25,25,27,27,29,29,30
Yelan,https://tierlist-plus.netlify.app/headshots/Yelan.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,5,5,5,5,5,5,6,6,6,6,1,1,7,7,7,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoimiya,https://tierlist-plus.netlify.app/headshots/Yoimiya.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yun Jin,https://tierlist-plus.netlify.app/headshots/Yun%20Jin.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,8,8,7,7,7,7,7,13,13,13,13,13,13,13,14,14,14,14,8,8,14,15,15,16,15,15,15,15,15,15,14,14,15,15,15,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,21,21,21,22,22,27,27,27,27,29,29,30,30,30,30,29,29,30,31,31,31,33,33,35,35,36
Zhongli,https://tierlist-plus.netlify.app/headshots/Zhongli.png,#FFCB51,,,,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,11,12,12,12,16,16,17,17,17,17,19,19,22,22,23
Zibai,https://tierlist-plus.netlify.app/headshots/Zibai.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
