Character,Image,Color,1.0A,1.0B,1.1A,1.1B,1.2A,1.2B,1.3A,1.3B,1.4A,1.4B,1.5A,1.5B,1.6A,1.6B,2.0A,2.0B,2.1A,2.1B,2.2A,2.2B,2.3A,2.3B,2.4A,2.4B,2.5A,2.5B,2.6A,2.6B,2.7A,2.7B,2.8A,2.8B,3.0A,3.0B,3.1A,3.1B,3.2A,3.2B,3.3A,3.3B,3.4A,3.4B,3.5A,3.5B,3.6A,3.6B,3.7A,3.7B,3.8A,3.8B,4.0A,4.0B,4.1A,4.1B,4.2A,4.2B,4.3A,4.3B,4.4A,4.4B,4.5A,4.5B,4.6A,4.6B,4.7A,4.7B,4.8A,4.8B,5.0A,5.0B,5.1A,5.1B,5.2A,5.2B,5.3A,5.3B,5.4A,5.4B,5.5A,5.5B,5.6A,5.6B,5.7A,5.7B,5.8A,5.8B,6.0A,6.0B,6.1A,6.1B,6.2A,6.2B,6.3A,6.3B,6.4A,6.4B,6.5A,6.5B,6.6A,6.6B,6.7A
Ororon,https://tierlist-plus.netlify.app/headshots/Ororon.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,14,14,14,15,15,14,14,15,15,15,15,15,15,17,17,18,18,18,18,19,19,20,20,21
Qiqi,https://tierlist-plus.netlify.app/headshots/Qiqi.png,Cryo,10,10,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prune,https://tierlist-plus.netlify.app/headshots/Prune.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,23
Raiden,https://tierlist-plus.netlify.app/headshots/Raiden.png,Electro,,,,,,,,,,,,,,,,,4,5,5,5,5,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,8,8,9,9,10,10,11,11,11,11,12,12,13,13,13,13,14,14,17,17,18
Razor,https://tierlist-plus.netlify.app/headshots/Razor.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaria,https://tierlist-plus.netlify.app/headshots/Rosaria.png,Cryo,,,,,,,,,,13,13,13,13,11,15,17,18,18,18,19,19,16,15,15,16,16,17,17,18,16,16,16,16,17,17,18,19,19,19,19,18,18,16,16,16,16,17,17,17,17,17,17,17,17,18,18,19,19,18,18,20,20,20,20,19,19,19,20,20,20,19,19,19,19,20,20,20,20,20,20,21,21,22,22,23,23,18,19,19,19,24,24,25,25,25,25,26,26,27,27,28
Sandrone,https://tierlist-plus.netlify.app/headshots/Sandrone.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sara,https://tierlist-plus.netlify.app/headshots/Sara.png,Electro,,,,,,,,,,,,,,,,,22,25,25,26,26,17,18,18,19,19,20,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayu,https://tierlist-plus.netlify.app/headshots/Sayu.png,Anemo,,,,,,,,,,,,,,,,16,17,17,17,18,18,19,20,20,21,21,22,22,23,25,26,26,28,29,30,31,32,32,32,32,31,31,32,32,32,32,33,33,33,33,34,34,34,34,35,35,36,37,37,37,32,32,32,32,32,32,32,33,34,34,33,33,33,33,35,35,35,35,35,35,36,36,36,36,37,37,38,38,38,38,39,39,40,40,40,40,41,41,42,42,42
Sethos,https://tierlist-plus.netlify.app/headshots/Sethos.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenhe,https://tierlist-plus.netlify.app/headshots/Shenhe.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,9,9,10,10,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shinobu,https://tierlist-plus.netlify.app/headshots/Shinobu.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,18,13,13,13,14,15,15,15,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,11,11,11,11,11,11,12,12,13,13,14,14,14,14,14,14,16,16,17,17,17,17,18,18,19,19,20
Sigewinne,https://tierlist-plus.netlify.app/headshots/Sigewinne.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirk,https://tierlist-plus.netlify.app/headshots/Skirk.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucrose,https://tierlist-plus.netlify.app/headshots/Sucrose.png,Anemo,6,6,6,7,10,12,13,15,15,17,17,17,17,13,17,19,20,20,20,21,21,18,19,19,20,20,21,21,22,15,15,15,15,16,16,17,18,18,18,18,17,17,19,19,19,19,20,20,20,20,20,20,20,20,21,21,22,22,21,21,21,21,21,21,20,20,20,21,21,21,20,20,20,20,21,21,21,21,21,21,22,22,23,23,24,24,20,21,21,21,21,21,22,22,22,22,23,23,24,24,25
Tartaglia,https://tierlist-plus.netlify.app/headshots/Tartaglia.png,Hydro,,,,,,9,10,10,10,10,10,10,10,7,11,12,13,14,14,14,14,9,10,10,11,11,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thoma,https://tierlist-plus.netlify.app/headshots/Thoma.png,Pyro,,,,,,,,,,,,,,,,,,,,15,15,23,24,24,25,25,26,26,27,26,27,27,29,21,21,22,23,22,22,22,21,21,21,21,21,21,22,22,22,22,22,22,22,22,24,24,25,25,24,24,24,24,24,24,24,24,24,25,25,25,24,24,24,24,26,26,26,26,26,26,27,27,27,27,28,28,26,27,27,27,26,26,27,27,27,27,28,28,29,29,29
Tighnari,https://tierlist-plus.netlify.app/headshots/Tighnari.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Anemo),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Anemo%29.png,Anemo,11,11,12,13,15,17,18,19,19,20,20,20,20,17,23,26,28,29,29,30,30,26,27,27,28,28,29,29,30,27,28,28,30,30,31,32,33,34,34,34,33,33,34,34,34,34,35,35,35,35,38,38,38,38,39,39,40,41,41,41,36,36,36,36,36,36,36,37,38,38,37,37,37,37,39,39,39,39,39,39,40,40,40,40,41,41,42,42,42,42,43,43,44,44,44,44,45,45,46,46,46
Traveler (Dendro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Dendro%29.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,22,23,24,25,23,23,23,22,22,22,22,22,22,23,23,23,23,23,23,23,23,25,25,26,27,27,27,25,25,25,25,25,25,25,26,26,26,25,25,25,25,27,27,27,27,27,27,28,28,28,28,30,30,30,31,31,31,33,33,34,34,34,34,35,35,36,36,36
Traveler (Electro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Electro%29.png,Electro,,,,,,,,,,,,,,,,20,21,21,21,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Geo),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Geo%29.png,Geo,,,,,14,16,17,14,14,15,15,15,15,16,20,23,25,26,26,27,27,24,25,25,26,26,27,27,28,29,30,30,32,32,33,34,35,36,36,36,35,35,36,36,36,36,37,37,37,37,36,36,36,36,37,37,38,39,39,39,34,34,34,34,34,34,34,35,36,36,35,35,35,35,37,37,37,37,37,37,38,38,38,38,39,39,40,40,40,40,41,41,42,42,42,42,43,43,44,44,44
Traveler (Hydro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Hydro%29.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,39,40,40,41,42,42,42,37,37,37,37,37,37,37,38,39,39,38,38,38,38,40,40,40,40,40,40,41,41,41,41,42,42,43,43,43,43,44,44,45,45,45,45,46,46,47,47,47
Traveler (Pyro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Pyro%29.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,25,25,26,26,19,19,20,20,24,25,25,25,29,29,30,30,30,30,31,31,32,32,32
Varesa,https://tierlist-plus.netlify.app/headshots/Varesa.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venti,https://tierlist-plus.netlify.app/headshots/Venti.png,Anemo,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,4,4,4,4,7,7,7,7,7,7,7,8,9,9,9,9,8,8,8,9,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,15,15,15,15,14,14,14,15,15,15,14,14,13,13,15,15,15,15,15,15,16,16,16,16,17,17,19,20,20,20,19,19,20,20,20,20,21,21,10,10,10
Wanderer,https://tierlist-plus.netlify.app/headshots/Wanderer.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wriothesley,https://tierlist-plus.netlify.app/headshots/Wriothesley.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varka,https://tierlist-plus.netlify.app/headshots/Varka.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiangling,https://tierlist-plus.netlify.app/headshots/Xiangling.png,Pyro,7,7,7,8,9,10,12,11,11,11,11,11,11,10,13,13,14,3,3,3,3,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,11,11,12,12,12,12,13,13,15,15,16
Xianyun,https://tierlist-plus.netlify.app/headshots/Xianyun.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao,https://tierlist-plus.netlify.app/headshots/Xiao.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xilonen,https://tierlist-plus.netlify.app/headshots/Xilonen.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingqiu,https://tierlist-plus.netlify.app/headshots/Xingqiu.png,Hydro,4,4,4,4,3,4,5,2,2,2,2,2,2,9,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,7,7,7,9,9,10,10,10,10,11,11,14,14,15
Xinyan,https://tierlist-plus.netlify.app/headshots/Xinyan.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24,24,26,28,29,30,31,31,31,31,30,30,31,31,31,31,32,32,32,32,33,33,33,33,34,34,35,36,36,36,33,33,33,33,33,33,33,34,35,35,34,34,34,34,36,36,36,36,36,36,37,37,37,37,38,38,39,39,39,39,40,40,41,41,41,41,42,42,43,43,43
Yae Miko,https://tierlist-plus.netlify.app/headshots/Yae%20Miko.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,8,8,15,15,16,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,10,10,10,11,11,12,12,13,13,17,17,17,17,23,23,24,24,24,24,25,25,26,26,11
Yanfei,https://tierlist-plus.netlify.app/headshots/Yanfei.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaoyao,https://tierlist-plus.netlify.app/headshots/Yaoyao.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yelan,https://tierlist-plus.netlify.app/headshots/Yelan.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,8,8,9,9,9,9,10,10,13,13,14
Yoimiya,https://tierlist-plus.netlify.app/headshots/Yoimiya.png,Pyro,,,,,,,,,,,,,,,,15,16,16,16,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yun Jin,https://tierlist-plus.netlify.app/headshots/Yun%20Jin.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongli,https://tierlist-plus.netlify.app/headshots/Zhongli.png,Geo,,,,5,6,8,7,9,9,9,9,9,9,5,10,10,11,12,12,12,12,11,12,12,13,13,13,13,14,17,17,17,17,18,22,23,24,25,25,25,24,24,24,24,24,24,25,25,25,25,26,26,26,26,28,28,29,30,30,30,27,27,27,27,27,27,27,28,28,28,27,27,27,27,29,29,29,29,29,29,30,30,30,30,32,32,32,33,33,33,,,,,,,,,,,
Zibai,https://tierlist-plus.netlify.app/headshots/Zibai.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
